co,no,no2,o3,so2,pm2_5,pm10,nh3,pm2_5_7day_avg,extreme_pm2_5,hazardous_pm25,hazardous_day,above_threshold,consecutive_breach_days,severity_zone,severity_score,lung_stress_score,breach,cumulative_pm25_burden
2691.9845833333334,29.467083333333335,54.88666666666666,62.25791666666667,46.312916666666666,208.95875,279.84499999999997,21.278333333333332,262.32261904761907,True,True,True,True,73,Severe Injury Risk,3,20.24645238095238,True,150853.83639492778
1250.3066666666666,3.420833333333333,41.34916666666667,56.062083333333334,38.315,82.98541666666667,124.79666666666667,20.690416666666668,245.16982142857142,True,True,True,True,74,High Stress,2,18.40339642857143,True,150936.82181159445
2152.9195833333333,5.21625,66.83916666666667,72.83583333333333,56.43541666666667,198.9141666666667,252.29833333333332,21.369583333333335,238.38363095238097,True,True,True,True,75,Severe Injury Risk,3,20.76767261904762,True,151135.7359782611
1809.6770833333333,10.717083333333333,75.11416666666666,34.84916666666667,97.01708333333333,140.535,169.6075,14.67125,221.5964880952381,True,True,True,True,76,High Stress,2,18.93192976190476,True,151276.2709782611
1116.51375,13.020833333333334,49.42333333333334,19.137083333333333,81.61874999999999,52.07041666666667,70.87458333333333,13.136249999999999,185.25809523809525,True,True,False,True,77,Mild Stress,1,16.705161904761905,True,151328.34139492776
1149.3354166666666,23.975416666666664,45.18291666666667,0.7374999999999999,95.645,52.034166666666664,66.02125,8.579166666666667,146.5154761904762,True,True,False,True,78,Mild Stress,1,16.430309523809523,True,151380.37556159444
953.7941666666667,8.097916666666666,35.670833333333334,4.4054166666666665,50.88291666666667,40.71333333333333,49.362500000000004,5.255,110.88732142857144,True,True,False,True,79,Mild Stress,1,16.21774642857143,True,151421.0888949278
1114.8454166666668,11.644166666666665,38.51416666666667,2.006666666666667,53.59375,47.16625,56.97625,6.745833333333334,87.77410714285715,True,True,False,True,80,Mild Stress,1,16.255482142857144,True,151468.2551449278
1922.6079166666668,26.012083333333333,60.94833333333333,16.76875,90.73833333333333,114.61166666666666,142.49125,12.982916666666666,92.29214285714286,True,True,True,True,81,High Stress,2,18.845842857142856,True,151582.86681159446
5668.242916666667,84.16375000000001,106.16000000000001,9.839166666666667,127.17625,422.7695833333333,505.66625,40.05125,124.2714880952381,True,True,True,True,82,Severe Injury Risk,3,21.98542976190476,True,152005.6363949278
