month,day,day_of_week,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_roll7,pm2_5_roll14,pm2_5_std7,pm2_5
12,1,1,708.4,791.35,816.21,743.7157142857143,561.9557142857143,57.453269375248176,656.05
12,1,1,656.05,708.4,791.35,732.9657142857142,584.9078571428571,72.09245102809419,625.11
12,1,1,625.11,656.05,708.4,710.8100000000001,609.3657142857144,87.2658140396344,597.57
12,1,1,597.57,625.11,656.05,680.8571428571429,633.0357142857143,94.82276391849639,571.31
12,2,2,571.31,597.57,625.11,642.3014285714287,649.6678571428572,84.97272551208653,546.32
12,2,2,546.32,571.31,597.57,604.6257142857143,656.5607142857143,63.668832997300115,527.62
12,2,2,527.62,546.32,571.31,583.5314285714286,659.9871428571429,45.39528809196353,560.74
12,2,2,560.74,527.62,546.32,570.29,657.0028571428572,32.365074797791614,563.36
12,2,2,563.36,560.74,527.62,550.4300000000001,641.6978571428572,35.610061312312176,486.09
12,2,2,486.09,563.36,560.74,533.07,621.9399999999999,38.3168292007566,476.05
12,2,2,476.05,486.09,563.36,516.7471428571429,598.8021428571428,43.32199122627524,457.05
12,2,2,457.05,476.05,486.09,478.4271428571428,560.3642857142858,97.5271448904156,278.08
12,2,2,278.08,457.05,476.05,435.21999999999997,519.9228571428572,132.74066621298303,225.17
12,2,2,225.17,278.08,457.05,383.3457142857143,483.43857142857144,145.82089800586877,197.62
12,2,2,197.62,225.17,278.08,331.9971428571429,451.1435714285714,134.7306690790039,203.92
12,2,2,203.92,197.62,225.17,295.09000000000003,422.76000000000005,120.0722712924728,227.74
12,2,2,227.74,203.92,197.62,261.8357142857143,397.4528571428571,90.09435810251719,243.27
12,2,2,243.27,227.74,203.92,234.94714285714284,375.8471428571429,30.4994424617242,268.83
12,2,2,268.83,243.27,227.74,236.95000000000002,357.68857142857144,34.056868127684645,292.1
12,2,2,292.1,268.83,243.27,246.56857142857143,340.8942857142857,39.282390638625245,292.5
12,2,2,292.5,292.1,268.83,258.8442857142857,321.09499999999997,34.5819041586483,283.55
